CERTIFIED.eid  CERTIFIED.aid  EMPLOYEES.eid  EMPLOYEES.ename  EMPLOYEES.salary  
4247	9320	4247	wytzyclprr	2566	
1926	12684	1926	jputeubhzw	14215	
7631	316	7631	fzftpdbwlu	7975	
2921	17967	2921	ljybrzrddj	16644	
9471	16883	9471	flbsiicslc	2055	
9841	12140	9841	rmttohiddq	10553	
11021	3076	11021	znradqwtki	15743	
8791	261	8791	oahnaftauj	9166	
8431	2021	8431	rdcysknyyj	12749	
5144	5254	5144	xscskaibij	961	
3136	5208	3136	tainabxdme	6563	
9449	11946	9449	wkmoeteqio	15099	
10470	14805	10470	zhuifdfvwh	13945	
9128	17629	9128	gvlkcrdinw	857	
2085	13039	2085	xbnmgtjpsx	14270	
2347	9548	2347	osfaqoxghs	8519	
6304	6337	6304	tvpgqbnttm	2355	
8623	3493	8623	cnhbzbgtvf	10709	
9344	15829	9344	flmvsujxex	6014	
10323	11539	10323	ulkwzxexyk	9169	
4802	17086	4802	ssuwjlnelp	7982	
7415	19583	7415	vdaofmrgcj	14892	
11067	5183	11067	rhnuuwidzk	6801	
3348	6724	3348	xzpspatosc	14525	
1175	12866	1175	uwmwancoip	3101	
11464	18971	11464	pjytwarjbl	7315	
318	1806	318	zifstcentl	13466	
2490	9083	2490	tgkuehpzah	18752	
3983	18703	3983	gikugpapbr	17379	
10198	642	10198	aafjqiddry	1581	
599	15042	599	zrttdrvwhm	932	
3944	3993	3944	xtedhwcxoi	7604	
4907	7928	4907	oukkiavmqn	4002	
11783	14041	11783	phfyosuxkc	19909	
10165	11239	10165	tfsggxsvch	1091	
1857	16675	1857	uednsvqlcg	6902	
11703	4413	11703	qlcadahvuu	1284	
1047	7438	1047	dftbqxpamd	17245	
4181	10435	4181	usxxkztwyw	8303	
6559	4247	6559	gzwfwjqjdn	5165	
6838	6922	6838	ivxixhcpfx	1643	
6199	17309	6199	xdebntudyx	7588	
5047	170	5047	ufrhklelna	16095	
1945	10174	1945	xvjyycdjzq	1001	
7799	7956	7799	dkzytqgvdw	8881	
9938	9659	9938	seniucmekg	73	
6139	8734	6139	lbolnydxvh	13848	
7206	6912	7206	smdnzfwbto	15451	
9115	15105	9115	jdwokszhwf	13962	
1494	5741	1494	bhkusqkvnr	8373	
10244	2854	10244	oamivtiaye	18764	
6730	6842	6730	deajuzjqik	19288	
6303	4610	6303	otthhqbiuh	4015	
9845	10503	9845	jhedyscfgh	14562	
11717	6036	11717	akamlqirwh	17889	
3230	3822	3230	gobukaokau	9391	
9805	422	9805	uspcgabihs	14140	
7095	13446	7095	grzbpxitxh	1721	
2095	17391	2095	eovlrxwxhb	17224	
10648	158	10648	dvkxxlpiah	9637	
979	3861	979	zszoperhrm	9253	
2013	2095	2013	omabvgsgah	17461	
7387	3772	7387	frttpnfyxf	14265	
